time,latitude,longitude,chl
2021-10-01,20.0,87.0,0.038393036
2021-10-01,21.25,90.75,0.59648323
2021-10-01,21.25,90.5,0.63251764
2021-10-01,20.0,90.25,0.016223408
2021-10-01,21.25,90.25,1.2951376
2021-10-01,21.25,90.0,1.0816469
2021-10-01,20.0,90.5,0.01577961
2021-10-01,21.25,89.75,0.4765454
2021-10-01,21.25,89.5,0.18298188
2021-10-01,21.25,89.25,0.15208307
2021-10-01,20.0,90.75,0.014949974
2021-10-01,21.25,89.0,0.15746222
2021-10-01,21.25,88.75,0.15343758
2021-10-01,20.0,91.0,0.014365139
2021-10-01,21.25,88.5,0.16570306
2021-10-01,21.25,88.25,0.2008954
2021-10-01,21.25,88.0,0.20772411
2021-10-01,20.25,87.0,0.06894403
2021-10-01,21.25,87.75,0.20315987
2021-10-01,21.25,87.5,0.14295338
2021-10-01,20.25,87.25,0.038106065
2021-10-01,21.25,87.25,0.08955919
2021-10-01,21.25,87.0,0.08874986
2021-10-01,21.0,91.0,0.02079066
2021-10-01,20.25,87.5,0.02650686
2021-10-01,21.0,90.75,0.062293615
2021-10-01,21.0,90.5,0.14076772
2021-10-01,20.25,87.75,0.02010578
2021-10-01,21.25,91.0,0.31462732
2021-10-01,21.0,90.25,0.43299928
2021-10-01,20.0,90.0,0.016793344
2021-10-01,21.5,87.5,0.2820445
2021-10-01,21.75,89.75,0.3486036
2021-10-01,20.0,88.0,0.020073608
2021-10-01,21.75,89.5,0.3700525
2021-10-01,21.75,88.0,0.17737761
2021-10-01,20.0,88.25,0.019803094
2021-10-01,21.75,87.75,0.32949156
2021-10-01,21.5,91.0,1.0868956
2021-10-01,21.5,90.75,1.3998992
2021-10-01,20.0,88.5,0.020244235
2021-10-01,21.5,90.5,1.4895333
2021-10-01,21.5,90.25,1.5892215
2021-10-01,20.0,88.75,0.022291781
2021-10-01,21.5,90.0,0.55650955
2021-10-01,22.25,91.0,2.2202895
2021-10-01,21.5,89.75,0.27114975
2021-10-01,21.5,89.5,0.23024194
2021-10-01,20.0,89.0,0.02408631
2021-10-01,21.5,89.25,0.18341498
2021-10-01,21.5,89.0,0.14661174
2021-10-01,20.0,89.25,0.02492319
2021-10-01,21.5,88.75,0.12725715
2021-10-01,21.5,88.5,0.2002301
2021-10-01,20.0,89.5,0.025062049
2021-10-01,21.5,88.25,0.23383865
2021-10-01,21.5,88.0,0.23900159
2021-10-01,21.5,87.75,0.25965205
2021-10-01,20.0,89.75,0.020875052
2021-10-01,21.5,87.25,0.1592775
2021-10-01,21.75,90.0,0.33667856
2021-10-01,21.0,90.0,0.4800837
2021-10-01,20.25,88.0,0.01942457
2021-10-01,20.25,90.25,0.02600158
2021-10-01,20.75,88.25,0.03590641
2021-10-01,20.75,88.0,0.045395944
2021-10-01,20.25,90.5,0.020464804
2021-10-01,20.75,87.75,0.061518572
2021-10-01,20.75,87.5,0.060202625
2021-10-01,20.75,87.25,0.056508057
2021-10-01,20.25,90.75,0.017485626
2021-10-01,20.75,87.0,0.1389535
2021-10-01,20.5,91.0,0.013878496
2021-10-01,20.25,91.0,0.015481679
2021-10-01,20.5,90.75,0.01585969
2021-10-01,20.5,90.5,0.020552257
2021-10-01,20.5,87.0,0.122181855
2021-10-01,20.5,90.25,0.04159417
2021-10-01,20.5,90.0,0.061270714
2021-10-01,20.5,89.75,0.059924196
2021-10-01,20.5,87.25,0.049835723
2021-10-01,20.5,89.5,0.053855088
2021-10-01,20.5,89.25,0.03975941
2021-10-01,22.5,91.0,1.8849971
2021-10-01,20.5,87.5,0.039108537
2021-10-01,20.5,89.0,0.02278956
2021-10-01,20.5,88.75,0.02022915
2021-10-01,20.5,88.5,0.019658323
2021-10-01,20.5,87.75,0.026142575
2021-10-01,20.5,88.25,0.019121721
2021-10-01,20.75,88.5,0.034239937
2021-10-01,21.0,89.75,0.30459303
2021-10-01,20.75,88.75,0.033149317
2021-10-01,20.25,90.0,0.027687773
2021-10-01,21.0,89.5,0.15613775
2021-10-01,21.0,89.25,0.10769031
2021-10-01,21.0,89.0,0.11728745
2021-10-01,20.25,88.25,0.019527499
2021-10-01,21.0,88.75,0.1317746
2021-10-01,22.5,90.75,1.2813426
2021-10-01,21.0,88.5,0.1395962
2021-10-01,20.25,88.5,0.020329751
2021-10-01,21.0,88.25,0.14278252
2021-10-01,21.0,88.0,0.16163684
2021-10-01,20.25,88.75,0.021812487
2021-10-01,21.0,87.75,0.12871839
2021-10-01,21.0,87.5,0.08537245
2021-10-01,21.0,87.25,0.0565674
2021-10-01,20.25,89.0,0.023333922
2021-10-01,21.0,87.0,0.120941095
2021-10-01,20.75,91.0,0.0131207
2021-10-01,20.25,89.25,0.02809773
2021-10-01,20.75,90.75,0.013739456
2021-10-01,20.75,90.5,0.020723937
2021-10-01,20.25,89.5,0.030915711
2021-10-01,20.75,90.25,0.084087215
2021-10-01,20.75,90.0,0.16283421
2021-10-01,20.75,89.75,0.14116149
2021-10-01,20.25,89.75,0.028333634
2021-10-01,20.75,89.5,0.09525986
2021-10-01,20.75,89.25,0.053378113
2021-10-01,20.75,89.0,0.02707715
2021-10-01,21.75,90.25,1.1526654
2021-10-01,20.5,88.0,0.019543022
2021-10-01,20.0,87.75,0.020579766
2021-10-01,22.25,90.75,1.6663254
2021-10-01,22.0,90.75,1.4725422
2021-10-01,22.0,91.0,1.7048647
2021-10-01,22.0,90.5,1.2236615
2021-10-01,21.75,90.75,1.4184823
2021-10-01,21.75,90.5,1.400782
2021-10-01,20.0,87.5,0.022584632
2021-10-01,21.75,91.0,1.4198048
2021-10-01,20.0,87.25,0.027317079
2021-11-01,21.0,91.0,0.36436436
2021-11-01,21.5,90.5,7.879093
2021-11-01,20.25,87.75,0.19736052
2021-11-01,20.75,88.75,0.3853333
2021-11-01,21.5,88.25,1.2115171
2021-11-01,22.0,90.5,6.2879767
2021-11-01,20.75,89.0,0.36722296
2021-11-01,21.0,90.0,1.1392157
2021-11-01,21.5,90.25,8.388077
2021-11-01,20.25,90.0,0.11716468
2021-11-01,20.75,89.25,0.38086
2021-11-01,20.0,89.5,0.121314615
2021-11-01,22.0,91.0,8.431048
2021-11-01,21.0,90.25,0.9608881
2021-11-01,21.0,90.5,0.40159622
2021-11-01,20.75,89.5,0.4063135
2021-11-01,20.75,87.25,0.3601052
2021-11-01,21.75,90.75,7.364965
2021-11-01,21.25,87.25,0.40172726
2021-11-01,20.75,87.5,0.36936522
2021-11-01,21.5,87.75,1.3343041
2021-11-01,20.75,87.75,0.41657114
2021-11-01,21.5,90.75,7.488473
2021-11-01,20.75,88.5,0.38719404
2021-11-01,20.5,88.0,0.24390869
2021-11-01,20.0,88.5,0.15121892
2021-11-01,20.25,87.5,0.2174905
2021-11-01,20.75,88.0,0.4254613
2021-11-01,21.5,88.0,1.3233569
2021-11-01,20.75,88.25,0.39188448
2021-11-01,21.0,90.75,0.40929335
2021-11-01,20.25,90.25,0.1096278
2021-11-01,20.25,90.5,0.10452156
2021-11-01,21.0,89.75,0.903613
2021-11-01,20.0,88.75,0.14539726
2021-11-01,21.5,91.0,6.7594805
2021-11-01,21.75,90.5,7.346661
2021-11-01,22.0,90.75,7.6004124
2021-11-01,20.25,88.5,0.177405
2021-11-01,20.0,89.0,0.1385848
2021-11-01,20.25,89.25,0.15093997
2021-11-01,20.0,89.25,0.1293174
2021-11-01,20.75,91.0,0.12591743
2021-11-01,20.0,90.25,0.10599242
2021-11-01,21.0,87.0,0.81538284
2021-11-01,21.0,88.25,0.84584475
2021-11-01,20.25,89.0,0.15933533
2021-11-01,21.0,87.25,0.31546214
2021-11-01,21.0,88.0,0.9064137
2021-11-01,21.5,89.0,0.6950646
2021-11-01,21.5,89.25,0.8556784
2021-11-01,21.0,87.5,0.43867725
2021-11-01,20.25,88.75,0.1694871
2021-11-01,21.5,89.5,1.0846581
2021-11-01,20.25,88.0,0.18678819
2021-11-01,22.5,90.75,11.079423
2021-11-01,20.75,90.75,0.13918376
2021-11-01,21.0,89.5,0.7384119
2021-11-01,20.25,89.75,0.1305166
2021-11-01,20.75,89.75,0.40233517
2021-11-01,21.5,88.5,1.0185857
2021-11-01,20.75,90.0,0.28304073
2021-11-01,21.5,90.0,2.906245
2021-11-01,21.0,89.25,0.6991924
2021-11-01,20.75,90.25,0.14956787
2021-11-01,21.0,89.0,0.7146176
2021-11-01,20.25,89.5,0.14367896
2021-11-01,20.25,88.25,0.1825375
2021-11-01,20.0,87.25,0.1969402
2021-11-01,21.5,89.75,1.5558237
2021-11-01,22.25,91.0,12.052884
2021-11-01,20.75,90.5,0.13526528
2021-11-01,21.0,88.75,0.7216737
2021-11-01,21.5,88.75,0.6750907
2021-11-01,21.0,88.5,0.7704159
2021-11-01,20.0,89.75,0.11461435
2021-11-01,21.25,87.0,0.6320516
2021-11-01,21.0,87.75,0.679168
2021-11-01,21.25,88.25,1.1500012
2021-11-01,20.5,90.25,0.11909826
2021-11-01,21.5,87.25,0.834321
2021-11-01,21.25,90.75,2.7443852
2021-11-01,20.5,87.0,0.6115212
2021-11-01,21.25,88.5,0.965247
2021-11-01,20.5,88.5,0.24387145
2021-11-01,21.25,89.75,2.843527
2021-11-01,20.5,88.75,0.24539016
2021-11-01,20.5,90.0,0.13858256
2021-11-01,20.0,91.0,0.09476587
2021-11-01,21.75,89.5,1.5583346
2021-11-01,21.25,89.5,1.4305127
2021-11-01,20.0,87.5,0.18045384
2021-11-01,20.0,90.0,0.11002436
2021-11-01,20.5,89.75,0.18438219
2021-11-01,20.25,90.75,0.10212842
2021-11-01,22.5,91.0,15.108812
2021-11-01,20.5,87.25,0.30467772
2021-11-01,20.5,89.0,0.24438728
2021-11-01,21.25,88.75,0.75862294
2021-11-01,21.75,89.75,1.6428815
2021-11-01,21.25,89.25,1.0176356
2021-11-01,20.5,89.5,0.22428301
2021-11-01,21.25,89.0,0.85154784
2021-11-01,20.0,90.75,0.097076714
2021-11-01,20.5,87.5,0.26816168
2021-11-01,20.5,89.25,0.24066222
2021-11-01,21.25,91.0,2.182804
2021-11-01,20.5,90.5,0.10896096
2021-11-01,21.75,90.0,1.7270931
2021-11-01,21.75,88.0,1.1157515
2021-11-01,21.25,87.75,1.0802828
2021-11-01,20.25,87.25,0.25525075
2021-11-01,21.75,90.25,5.9904604
2021-11-01,20.75,87.0,0.87220824
2021-11-01,22.25,90.75,9.961274
2021-11-01,21.25,87.5,0.5502587
2021-11-01,20.0,87.75,0.17205393
2021-11-01,21.75,87.75,1.7185953
2021-11-01,21.25,90.5,2.604854
2021-11-01,20.5,91.0,0.09742917
2021-11-01,20.0,87.0,0.24123707
2021-11-01,20.5,88.25,0.24175036
2021-11-01,21.25,90.25,5.9178987
2021-11-01,21.25,88.0,1.1576161
2021-11-01,20.25,91.0,0.0965462
2021-11-01,20.0,88.0,0.16707006
2021-11-01,21.5,87.5,1.2827698
2021-11-01,20.5,90.75,0.103091255
2021-11-01,21.75,91.0,7.56049
2021-11-01,20.0,88.25,0.15898687
2021-11-01,21.25,90.0,5.9989233
2021-11-01,20.0,90.5,0.10116327
2021-11-01,20.25,87.0,0.37525684
2021-11-01,20.5,87.75,0.26090366
2021-12-01,22.0,90.75,5.8940125
2021-12-01,21.25,90.25,3.0616825
2021-12-01,20.0,90.75,0.23505147
2021-12-01,20.0,89.25,0.1560576
2021-12-01,21.0,88.75,0.54159427
2021-12-01,21.25,89.75,1.1810863
2021-12-01,20.25,88.5,0.21293958
2021-12-01,21.5,88.75,0.6728833
2021-12-01,21.25,90.0,2.4813294
2021-12-01,21.5,89.0,1.0040865
2021-12-01,21.25,90.5,1.3923428
