time,latitude,longitude,kd
2023-11-01,20.0,87.75,0.04868809
2023-11-01,20.0,88.5,0.048022386
2023-12-01,20.25,91.0,0.048121676
2023-12-01,21.0,88.25,0.06910046
2023-12-01,21.5,90.25,0.12982321
2023-12-01,21.5,87.5,0.07059859
2023-12-01,20.75,89.25,0.06150295
2023-12-01,21.0,87.5,0.053203885
2023-12-01,21.5,87.75,0.11346574
2023-12-01,21.25,88.0,0.08384193
2023-12-01,20.0,88.25,0.064058594
2023-12-01,21.25,87.0,0.049104296
2023-12-01,20.25,90.75,0.047493964
2023-12-01,20.25,87.0,0.07110373
2023-12-01,22.0,90.5,0.25104302
2023-12-01,20.0,89.0,0.064946935
2023-12-01,20.25,87.25,0.07186788
2023-12-01,20.75,87.25,0.06278181
2023-12-01,21.0,89.0,0.064271376
2023-12-01,20.5,87.5,0.06540469
2023-12-01,21.25,91.0,0.08391372
2023-12-01,20.0,88.75,0.06324477
2023-12-01,20.0,90.75,0.04551354
2023-12-01,21.25,88.25,0.07912389
2023-12-01,20.75,89.5,0.061707977
2023-12-01,20.75,87.5,0.06399133
2023-12-01,20.5,87.25,0.06840017
2023-12-01,20.25,88.5,0.068014555
2023-12-01,21.5,90.5,0.27222818
2023-12-01,21.5,87.25,0.055193428
2023-12-01,21.0,90.5,0.049492322
2023-12-01,20.0,91.0,0.04568808
2023-12-01,20.0,87.25,0.061732356
2023-12-01,20.5,87.0,0.0694221
2023-12-01,21.75,90.0,0.13146463
2023-12-01,20.75,90.75,0.045975477
2023-12-01,21.75,90.5,0.2841821
2023-12-01,21.5,88.0,0.12724455
2023-12-01,20.25,90.5,0.046134163
2023-12-01,22.5,90.75,0.20197298
2023-12-01,20.75,88.25,0.06524031
2023-12-01,20.25,88.0,0.0649003
2023-12-01,20.25,89.25,0.06686998
2023-12-01,20.75,88.75,0.06472426
2023-12-01,21.5,88.75,0.07542894
2023-12-01,21.5,89.5,0.06953909
2023-12-01,20.25,89.0,0.06764733
2023-12-01,20.25,89.5,0.06551539
2023-12-01,21.0,88.0,0.07391843
2023-12-01,20.25,88.25,0.06688389
2023-12-01,22.25,90.75,0.30180433
2023-12-01,21.5,89.0,0.0699575
2023-12-01,20.75,88.5,0.06442677
2023-12-01,20.0,87.5,0.059651308
2023-12-01,20.25,88.75,0.067294724
2023-12-01,20.0,88.5,0.0629026
2023-12-01,21.5,89.25,0.067051075
2023-12-01,21.25,87.5,0.053290926
2023-12-01,21.0,90.25,0.05123327
2023-12-01,22.0,90.75,0.30735317
2023-12-01,21.25,87.25,0.051587537
2023-12-01,20.75,87.75,0.066740885
2023-12-01,20.5,87.75,0.06632566
2023-12-01,21.5,90.0,0.07793309
2023-12-01,22.0,91.0,0.32138315
2023-12-01,20.25,90.25,0.046303358
2023-12-01,20.25,87.5,0.063981764
2023-12-01,21.0,89.5,0.061589383
2023-12-01,20.25,90.0,0.053285696
2023-12-01,21.5,88.5,0.085398056
2023-12-01,20.75,89.0,0.062870614
2023-12-01,20.75,90.5,0.044377238
2023-12-01,20.75,88.0,0.065095864
2023-12-01,21.5,89.75,0.07220622
2023-12-01,21.75,89.75,0.1512116
2023-12-01,20.25,89.75,0.062477183
2023-12-01,20.25,87.75,0.06300851
2023-12-01,21.0,87.75,0.06422039
2023-12-01,21.25,87.75,0.07233077
2023-12-01,21.5,88.25,0.12171826
2023-12-01,21.0,88.75,0.06587342
2023-12-01,21.0,89.25,0.06336939
2023-12-01,21.25,90.75,0.085373856
2023-12-01,21.0,87.0,0.06758478
2023-12-01,20.5,89.25,0.064765476
2023-12-01,21.75,87.75,0.12664227
2023-12-01,20.0,87.75,0.06205089
2023-12-01,20.0,89.75,0.057223067
2023-12-01,20.5,90.75,0.047177266
2023-12-01,20.5,89.0,0.06566638
2023-12-01,22.25,91.0,0.31547982
2023-12-01,21.75,91.0,0.3056562
2023-12-01,21.25,88.75,0.06729062
2023-12-01,20.5,88.75,0.06547677
2023-12-01,22.5,91.0,0.21400516
2023-12-01,20.0,90.0,0.053663187
2023-12-01,20.0,88.0,0.06527155
2023-12-01,21.25,90.25,0.094394445
2023-12-01,20.75,91.0,0.04837524
2023-12-01,21.25,89.75,0.06834357
2023-12-01,21.75,90.25,0.24278247
2023-12-01,20.0,89.5,0.060019873
2023-12-01,20.5,90.25,0.046641693
2023-12-01,21.25,89.25,0.0637198
2023-12-01,20.5,90.0,0.055566538
2023-12-01,21.25,89.0,0.06796986
2023-12-01,20.75,90.25,0.046395194
2023-12-01,21.25,89.5,0.06373988
2023-12-01,21.0,90.0,0.058203973
2023-12-01,20.5,91.0,0.04882377
2023-12-01,20.5,90.5,0.045989253
2023-12-01,20.5,89.75,0.06635114
2023-12-01,21.75,90.75,0.2998945
2023-12-01,21.75,88.0,0.11555585
2023-12-01,21.75,89.5,0.080768146
2023-12-01,20.75,90.0,0.055771314
2023-12-01,21.0,90.75,0.049509715
2023-12-01,20.5,89.5,0.06427843
2023-12-01,20.0,89.25,0.062850535
2023-12-01,20.75,89.75,0.061239116
2023-12-01,21.25,90.0,0.08825899
2023-12-01,21.25,88.5,0.071854316
2023-12-01,21.0,89.75,0.06310636
2023-12-01,21.25,90.5,0.09586865
2023-12-01,21.5,90.75,0.20798951
2023-12-01,20.0,87.0,0.06519331
2023-12-01,21.0,87.25,0.0545889
2023-12-01,20.0,90.25,0.04654435
2023-12-01,20.5,88.5,0.065122984
2023-12-01,20.5,88.25,0.06537428
