time,latitude,longitude,fe
2021-11-01,20.0,87.75,0.0016168561
2021-11-01,21.75,91.0,0.008016635
2021-11-01,22.25,90.75,0.01088599
2021-11-01,22.0,91.0,0.009734332
2021-11-01,22.0,90.75,0.009755993
2021-11-01,20.0,87.5,0.0016654552
2021-12-01,20.0,87.5,0.00094787846
2021-12-01,21.25,89.5,0.0024677597
2021-12-01,20.25,87.25,0.0015618999
2021-12-01,21.25,89.75,0.0028360917
2021-12-01,21.25,89.25,0.0025513652
2021-12-01,21.25,89.0,0.00253798
2021-12-01,20.25,87.0,0.0025830448
2021-12-01,20.25,87.5,0.0010325582
2021-12-01,21.0,91.0,0.0029172136
2021-12-01,21.25,90.0,0.003954604
2021-12-01,21.25,88.5,0.0032345927
2021-12-01,20.25,87.75,0.00097339787
2021-12-01,21.25,88.25,0.0036402198
2021-12-01,21.25,88.0,0.003872477
2021-12-01,20.25,88.0,0.0009995735
2021-12-01,21.25,87.75,0.003945807
2021-12-01,20.5,89.5,0.0012060241
2021-12-01,20.25,88.25,0.0010220819
2021-12-01,21.25,87.25,0.0035988223
2021-12-01,21.25,87.0,0.0051294337
2021-12-01,20.25,88.5,0.001042315
2021-12-01,21.0,90.75,0.002737777
2021-12-01,22.0,90.75,0.008625537
2021-12-01,21.25,88.75,0.0030193313
2021-12-01,22.0,90.5,0.008098566
2021-12-01,20.0,91.0,0.0010890326
2021-12-01,21.25,90.5,0.0038665668
2021-12-01,21.75,90.75,0.0069261277
2021-12-01,20.0,88.75,0.0011530676
2021-12-01,21.5,90.75,0.0060299784
2021-12-01,21.5,90.5,0.006075061
2021-12-01,22.25,91.0,0.009754611
2021-12-01,20.0,89.0,0.0012596211
2021-12-01,21.5,90.25,0.0055179154
2021-12-01,21.5,90.0,0.0038514154
2021-12-01,20.0,89.25,0.0013135506
2021-12-01,21.5,89.75,0.003420389
2021-12-01,21.5,89.5,0.0032129083
2021-12-01,20.0,89.5,0.0013524923
2021-12-01,21.5,89.25,0.0033527762
2021-12-01,21.5,89.0,0.0034520472
2021-12-01,21.75,91.0,0.006669631
2021-12-01,20.0,89.75,0.0013773254
2021-12-01,21.5,88.75,0.004263523
2021-12-01,21.5,88.5,0.0052167983
2021-12-01,20.0,90.0,0.0013958904
2021-12-01,21.5,88.25,0.004729396
2021-12-01,21.5,88.0,0.005122072
2021-12-01,20.0,90.25,0.0013407208
2021-12-01,21.5,87.75,0.004957833
2021-12-01,21.5,87.5,0.005151431
2021-12-01,20.0,90.5,0.0011756966
2021-12-01,21.5,87.25,0.0056213783
2021-12-01,21.25,91.0,0.0042936546
2021-12-01,20.0,90.75,0.0010371528
2021-12-01,21.25,90.75,0.0040363055
2021-12-01,21.25,90.25,0.004585623
2021-12-01,20.25,88.75,0.0011279706
2021-12-01,21.0,90.25,0.002213763
2021-12-01,21.0,90.0,0.0018378596
2021-12-01,20.5,87.25,0.0020510694
2021-12-01,20.75,89.25,0.0011921282
2021-12-01,20.75,89.0,0.0012237497
2021-12-01,22.5,91.0,0.0053900317
2021-12-01,22.25,90.75,0.009278093
2021-12-01,20.5,87.5,0.0013596145
2021-12-01,20.75,88.75,0.0013202123
2021-12-01,20.75,88.5,0.0014120867
2021-12-01,20.5,87.75,0.0011330065
2021-12-01,20.75,88.25,0.0014650634
2021-12-01,20.75,88.0,0.0015581523
2021-12-01,20.5,88.0,0.0010619293
2021-12-01,20.75,87.75,0.001824976
2021-12-01,20.75,89.5,0.0011516847
2021-12-01,20.75,87.5,0.001988698
2021-12-01,20.75,87.25,0.002382876
2021-12-01,20.75,87.0,0.0042111324
2021-12-01,20.5,88.5,0.0011003421
2021-12-01,20.5,91.0,0.0017939834
2021-12-01,20.5,90.75,0.0017687047
2021-12-01,20.5,88.75,0.0011401224
2021-12-01,20.5,90.5,0.0017404665
2021-12-01,20.5,90.25,0.0016288905
2021-12-01,20.5,89.0,0.001217207
2021-12-01,20.5,90.0,0.00149398
2021-12-01,20.5,89.75,0.0012770821
2021-12-01,20.0,87.0,0.0015999492
2021-12-01,20.5,89.25,0.0012459612
2021-12-01,20.5,88.25,0.001097125
2021-12-01,21.0,90.5,0.0025119702
2021-12-01,20.75,89.75,0.0012330766
2021-12-01,20.75,90.0,0.001523403
2021-12-01,20.25,89.0,0.001261407
2021-12-01,21.0,89.75,0.001456647
2021-12-01,21.0,89.5,0.0013192339
2021-12-01,20.25,89.25,0.0012996866
2021-12-01,21.0,89.25,0.001480934
2021-12-01,20.25,89.5,0.0013159798
2021-12-01,21.0,89.0,0.0016648779
2021-12-01,22.5,90.75,0.0056977468
2021-12-01,21.0,88.75,0.00200241
2021-12-01,20.25,89.75,0.0013753246
2021-12-01,21.0,88.5,0.0022842095
2021-12-01,21.0,88.25,0.002620256
2021-12-01,20.25,90.0,0.001497937
2021-12-01,20.5,87.0,0.0036104526
2021-12-01,21.0,88.0,0.0029035595
2021-12-01,20.25,90.25,0.0015699181
2021-12-01,21.0,87.5,0.0030418376
2021-12-01,20.0,87.25,0.0011476332
2021-12-01,21.0,87.25,0.0029810048
2021-12-01,20.25,90.5,0.0015852096
2021-12-01,21.0,87.0,0.0040972866
2021-12-01,20.75,91.0,0.0020032865
2021-12-01,22.0,91.0,0.008529673
2021-12-01,20.25,90.75,0.0015739524
2021-12-01,20.75,90.75,0.0019926226
2021-12-01,20.75,90.5,0.001919053
2021-12-01,20.25,91.0,0.0016320144
2021-12-01,20.75,90.25,0.0017079788
2021-12-01,21.0,87.75,0.0031592965
2021-12-01,21.5,91.0,0.005923054
2021-12-01,21.25,87.5,0.003607818
2021-12-01,21.75,89.75,0.0051156445
2021-12-01,21.75,90.25,0.006067152
2021-12-01,20.0,88.25,0.0009904373
2021-12-01,21.75,87.75,0.007381586
2021-12-01,20.0,88.0,0.0009523877
2021-12-01,21.75,89.5,0.005433209
2021-12-01,21.75,90.0,0.0047891242
