time,latitude,longitude,uo
2022-06-01,21.5,88.67,0.10125956
2022-06-01,20.42,87.58,0.012427454
2022-06-01,20.92,90.83,-0.013135186
2022-06-01,21.5,88.75,0.108715415
2022-06-01,20.92,90.75,-0.007982609
2022-06-01,20.42,87.67,0.003947
2022-06-01,20.08,90.0,0.0216598
2022-06-01,20.92,91.0,-0.026768357
2022-06-01,21.5,88.83,0.11204325
2022-06-01,20.42,87.25,0.112130925
2022-06-01,20.08,90.33,0.006746556
2022-06-01,21.0,88.17,0.060651924
2022-06-01,20.33,90.92,0.031463042
2022-06-01,21.0,88.08,0.06378166
2022-06-01,20.08,90.58,-0.04979197
2022-06-01,21.5,87.75,0.049216133
2022-06-01,21.0,88.0,0.051693834
2022-06-01,20.33,91.0,0.03402446
2022-06-01,21.5,87.83,0.04867423
2022-06-01,21.0,87.92,0.054946706
2022-06-01,20.42,87.0,0.11373716
2022-06-01,20.08,90.5,-0.022235148
2022-06-01,21.0,87.42,0.07231578
2022-06-01,21.5,87.92,0.04464563
2022-06-01,21.0,87.75,0.07401158
2022-06-01,21.5,88.0,0.04433369
2022-06-01,20.42,87.08,0.1353531
2022-06-01,20.08,90.42,-0.0027000112
2022-06-01,21.0,87.67,0.06853664
2022-06-01,22.0,90.92,0.023232607
2022-06-01,21.5,88.08,0.054537293
2022-06-01,21.0,87.58,0.060462773
2022-06-01,20.42,87.17,0.13308983
2022-06-01,21.5,88.17,0.07093438
2022-06-01,21.0,87.5,0.060230374
2022-06-01,21.0,87.83,0.07328407
2022-06-01,20.92,90.67,-0.005555393
2022-06-01,20.92,90.58,-0.004475065
2022-06-01,21.5,88.92,0.09794433
2022-06-01,20.42,88.17,0.13929254
2022-06-01,20.92,89.67,0.10253283
2022-06-01,20.08,89.58,0.16443405
2022-06-01,21.5,89.67,-0.021302853
2022-06-01,20.92,89.58,0.10252468
2022-06-01,20.42,88.25,0.1356768
2022-06-01,21.5,89.75,-0.021141732
2022-06-01,20.92,89.5,0.09759862
2022-06-01,20.92,89.42,0.09230192
2022-06-01,20.08,89.5,0.1929746
