time,latitude,longitude,vo
2022-06-01,20.92,90.92,-0.013325659
2022-06-01,20.08,90.08,0.008876932
2022-06-01,21.5,88.67,0.04896815
2022-06-01,20.42,87.58,0.07122661
2022-06-01,20.92,90.83,-0.014927943
2022-06-01,21.5,88.75,0.034983777
2022-06-01,20.92,90.75,-0.007078596
2022-06-01,20.42,87.67,0.051068764
2022-06-01,20.08,90.0,-0.0014339861
2022-06-01,20.92,91.0,-0.006108807
2022-06-01,21.5,88.83,0.019490235
2022-06-01,20.42,87.25,0.0915408
2022-06-01,20.08,90.33,0.002638918
2022-06-01,21.0,88.17,0.04112297
2022-06-01,20.33,90.92,-0.0065784054
2022-06-01,21.0,88.08,0.044347685
2022-06-01,20.08,90.58,-0.027015366
2022-06-01,21.5,87.75,0.019724373
2022-06-01,21.0,88.0,0.011913303
2022-06-01,20.33,91.0,-0.011887146
2022-06-01,21.5,87.83,0.018354673
2022-06-01,21.0,87.92,0.027941005
2022-06-01,20.42,87.0,0.112872936
2022-06-01,20.08,90.5,-0.028650505
2022-06-01,21.0,87.42,0.025192985
2022-06-01,21.5,87.92,0.015871549
2022-06-01,21.0,87.75,0.031890906
2022-06-01,21.5,88.0,0.0013031662
2022-06-01,20.42,87.08,0.13061745
2022-06-01,20.08,90.42,-0.016703302
2022-06-01,21.0,87.67,0.055265043
2022-06-01,22.0,90.92,-0.015995584
2022-06-01,21.5,88.08,-0.012757272
2022-06-01,21.0,87.58,0.018003954
2022-06-01,20.42,87.17,0.0905329
2022-06-01,21.5,88.17,-0.014861843
2022-06-01,21.0,87.5,0.012318715
2022-06-01,21.0,87.83,0.047698822
2022-06-01,20.92,90.67,-0.0017601006
2022-06-01,20.92,90.58,0.0024969354
2022-06-01,21.5,88.92,0.011179682
2022-06-01,20.42,88.17,0.025370926
2022-06-01,20.92,89.67,-0.020816086
2022-06-01,20.08,89.58,-0.043977924
2022-06-01,21.5,89.67,-0.0063946424
2022-06-01,20.92,89.58,0.014769893
2022-06-01,20.42,88.25,0.026322788
2022-06-01,21.5,89.75,-0.010071427
2022-06-01,20.92,89.5,0.052030616
2022-06-01,20.92,89.42,0.08281801
2022-06-01,20.08,89.5,-0.06258516
2022-06-01,20.42,88.33,0.037864335
2022-06-01,21.5,89.58,-0.03211801
2022-06-01,21.5,89.83,-0.0075840075
2022-06-01,20.42,88.42,0.040071104
2022-06-01,20.92,89.25,0.08457862
2022-06-01,20.08,89.42,-0.06933149
2022-06-01,21.5,90.0,0.01504199
2022-06-01,20.92,89.17,0.058353364
2022-06-01,20.42,88.5,0.033668045
2022-06-01,21.5,90.08,0.013928218
2022-06-01,20.92,89.08,0.02126557
2022-06-01,20.92,89.0,-0.0013583632
2022-06-01,20.08,89.33,-0.07802558
2022-06-01,20.42,88.58,0.018077511
2022-06-01,20.92,89.33,0.101519324
2022-06-01,20.92,89.75,-0.045482624
2022-06-01,21.5,89.5,-0.009814603
2022-06-01,20.92,89.83,-0.04717936
2022-06-01,22.5,90.92,0.024960037
2022-06-01,20.42,87.75,0.017958526
2022-06-01,20.92,90.5,0.011032381
2022-06-01,20.08,89.92,-0.014901391
2022-06-01,21.5,89.0,-0.00089454744
2022-06-01,20.92,90.42,0.021975357
2022-06-01,20.42,87.83,-0.0051736673
2022-06-01,21.5,89.08,0.0354699
2022-06-01,20.92,90.33,0.024908908
2022-06-01,20.92,90.25,0.022111403
2022-06-01,20.08,89.83,-0.01924873
2022-06-01,21.5,89.17,0.037949994
2022-06-01,20.42,87.92,-0.027055329
2022-06-01,21.5,89.25,0.028834576
2022-06-01,20.92,90.17,0.0070097838
2022-06-01,20.92,90.08,-0.0027989035
2022-06-01,20.42,88.0,-0.015142811
2022-06-01,20.08,89.75,-0.025526952
2022-06-01,21.5,89.33,0.01429557
2022-06-01,20.92,90.0,-0.0098381955
2022-06-01,22.25,90.83,-0.052255504
2022-06-01,21.5,89.42,-0.0005043362
2022-06-01,20.92,89.92,-0.03485209
2022-06-01,20.42,88.08,0.012213733
2022-06-01,20.08,89.67,-0.03193792
2022-06-01,20.92,88.92,-0.025886532
2022-06-01,21.5,87.67,0.024164094
2022-06-01,21.58,89.0,0.01632576
2022-06-01,20.42,90.42,0.03442229
2022-06-01,20.75,89.25,0.110374734
2022-06-01,22.0,90.67,-0.0062411055
2022-06-01,21.67,89.25,0.022917507
2022-06-01,20.75,89.17,0.08289937
2022-06-01,20.5,88.67,-0.0008101175
2022-06-01,20.0,90.25,0.00030294186
2022-06-01,20.75,89.08,0.005582185
2022-06-01,21.67,89.33,0.016059516
2022-06-01,20.75,89.0,-0.026846247
2022-06-01,20.5,88.75,-0.0029577313
2022-06-01,21.67,89.42,0.008925605
2022-06-01,21.67,89.17,0.01589899
2022-06-01,20.75,88.92,-0.04093814
2022-06-01,21.67,89.5,-0.0018495615
2022-06-01,20.75,88.83,-0.02943383
2022-06-01,20.5,88.83,0.0022982007
2022-06-01,21.67,89.58,-0.006838068
2022-06-01,20.75,88.75,0.020157265
2022-06-01,20.75,88.67,0.050598543
2022-06-01,20.5,88.92,-0.026079228
2022-06-01,20.0,90.08,-0.007962427
2022-06-01,21.67,89.67,-0.0045125387
2022-06-01,21.67,89.75,-0.0005179742
2022-06-01,20.75,88.58,0.04461233
2022-06-01,20.0,90.17,-0.004617128
2022-06-01,20.75,88.5,0.033815674
2022-06-01,20.0,90.33,-0.009088024
2022-06-01,20.75,89.33,0.08193921
2022-06-01,22.33,90.83,-0.031311247
2022-06-01,21.67,88.0,0.01813088
2022-06-01,20.5,88.17,0.02685989
2022-06-01,20.75,90.0,-0.04649232
2022-06-01,21.67,88.08,-0.027154025
2022-06-01,20.75,89.92,-0.0586953
2022-06-01,20.5,88.25,0.040480234
2022-06-01,20.0,90.58,-0.040676706
2022-06-01,21.67,88.17,-0.029194629
2022-06-01,20.75,89.83,-0.05667847
2022-06-01,20.75,89.75,-0.03638353
2022-06-01,20.5,88.58,0.020586444
2022-06-01,21.67,88.67,-0.0024149923
2022-06-01,20.0,90.5,-0.04278443
2022-06-01,20.75,89.67,-0.007085771
2022-06-01,21.67,88.83,0.017547658
2022-06-01,20.75,89.58,0.015932439
2022-06-01,20.5,88.42,0.049425546
2022-06-01,21.67,88.92,0.014514978
2022-06-01,20.75,89.5,0.02258914
2022-06-01,20.0,90.42,-0.030709894
2022-06-01,20.5,88.5,0.040473856
2022-06-01,21.67,89.08,0.01185301
2022-06-01,20.75,89.42,0.04278206
2022-06-01,20.5,88.33,0.04351194
2022-06-01,22.42,91.0,0.04975565
2022-06-01,20.5,89.0,-0.022509372
2022-06-01,20.0,90.0,-0.024371674
2022-06-01,20.75,87.5,0.08232402
2022-06-01,20.5,89.5,0.017197864
2022-06-01,21.67,90.58,-0.00083972263
2022-06-01,20.75,87.42,0.092030965
2022-06-01,22.33,90.92,-0.0063977093
2022-06-01,20.0,89.58,-0.08463998
2022-06-01,20.5,89.58,0.025599604
2022-06-01,21.67,90.67,-0.0029415411
2022-06-01,20.75,87.33,0.084602214
2022-06-01,21.67,90.75,-0.0062774806
2022-06-01,20.75,87.25,0.19116469
2022-06-01,21.67,90.5,-0.0030007698
2022-06-01,20.5,89.67,0.020573206
2022-06-01,22.67,90.92,0.054635063
2022-06-01,21.67,90.83,-0.0068650013
2022-06-01,20.75,87.17,0.10082512
2022-06-01,21.67,90.92,-0.005416348
2022-06-01,20.75,87.08,0.106634386
2022-06-01,20.5,89.75,-0.017895248
2022-06-01,20.0,89.42,-0.1000186
