time,latitude,longitude,po4
2021-11-01,20.0,87.75,0.00028899874
2021-11-01,21.75,91.0,0.013006753
2021-11-01,22.25,90.75,0.2330203
2021-11-01,22.0,91.0,0.013948155
2021-11-01,22.0,90.75,0.014385001
2021-11-01,20.0,87.5,0.00031961416
2021-12-01,20.0,87.5,0.010577324
2021-12-01,21.25,89.5,0.0019217811
2021-12-01,20.25,87.25,0.0009910172
2021-12-01,21.25,89.75,0.0022665812
2021-12-01,21.25,89.25,0.002028995
2021-12-01,21.25,89.0,0.0020001514
2021-12-01,20.25,87.0,0.0014202263
2021-12-01,20.25,87.5,0.002139378
2021-12-01,21.0,91.0,0.0012531873
2021-12-01,21.25,90.0,0.016300177
2021-12-01,21.25,88.5,0.0032505642
2021-12-01,20.25,87.75,0.0084979655
2021-12-01,21.25,88.25,0.0032788988
2021-12-01,21.25,88.0,0.0030012564
2021-12-01,20.25,88.0,0.007703985
2021-12-01,21.25,87.75,0.0026043018
2021-12-01,20.5,89.5,0.00037006466
2021-12-01,20.25,88.25,0.004180449
2021-12-01,21.25,87.25,0.0013099938
2021-12-01,21.25,87.0,0.0026638394
2021-12-01,20.25,88.5,0.0015103987
2021-12-01,21.0,90.75,0.001066133
2021-12-01,22.0,90.75,0.015524587
2021-12-01,21.25,88.75,0.0022616773
2021-12-01,22.0,90.5,0.011681024
2021-12-01,20.0,91.0,0.003046917
2021-12-01,21.25,90.5,0.001878931
2021-12-01,21.75,90.75,0.011815259
2021-12-01,20.0,88.75,0.00043070692
2021-12-01,21.5,90.75,0.013357093
2021-12-01,21.5,90.5,0.012940982
2021-12-01,22.25,91.0,0.046126388
2021-12-01,20.0,89.0,0.00034695625
2021-12-01,21.5,90.25,0.01525372
2021-12-01,21.5,90.0,0.0037381118
2021-12-01,20.0,89.25,0.00034294513
2021-12-01,21.5,89.75,0.003647544
2021-12-01,21.5,89.5,0.0032072035
2021-12-01,20.0,89.5,0.00034956186
2021-12-01,21.5,89.25,0.0036079073
2021-12-01,21.5,89.0,0.0023748858
2021-12-01,21.75,91.0,0.010498919
2021-12-01,20.0,89.75,0.000355594
2021-12-01,21.5,88.75,0.0019710516
2021-12-01,21.5,88.5,0.0032926472
2021-12-01,20.0,90.0,0.0003809758
2021-12-01,21.5,88.25,0.0030761675
2021-12-01,21.5,88.0,0.0032471893
2021-12-01,20.0,90.25,0.00073100714
2021-12-01,21.5,87.75,0.003601603
2021-12-01,21.5,87.5,0.0040894714
2021-12-01,20.0,90.5,0.0016225
2021-12-01,21.5,87.25,0.0029844262
2021-12-01,21.25,91.0,0.0022663837
2021-12-01,20.0,90.75,0.0028685217
2021-12-01,21.25,90.75,0.002067068
2021-12-01,21.25,90.25,0.017213624
2021-12-01,20.25,88.75,0.0005235351
2021-12-01,21.0,90.25,0.000800661
2021-12-01,21.0,90.0,0.00069749175
2021-12-01,20.5,87.25,0.0011303502
2021-12-01,20.75,89.25,0.0004428757
2021-12-01,20.75,89.0,0.0005299296
2021-12-01,22.5,91.0,0.1517129
2021-12-01,22.25,90.75,0.10162748
2021-12-01,20.5,87.5,0.0006751081
2021-12-01,20.75,88.75,0.0006446771
2021-12-01,20.75,88.5,0.00078901084
2021-12-01,20.5,87.75,0.0013278751
2021-12-01,20.75,88.25,0.00096391723
2021-12-01,20.75,88.0,0.0009455765
2021-12-01,20.5,88.0,0.0042110295
2021-12-01,20.75,87.75,0.00086426374
2021-12-01,20.75,89.5,0.00042402913
2021-12-01,20.75,87.5,0.0009192708
2021-12-01,20.75,87.25,0.0012605616
2021-12-01,20.75,87.0,0.0042112498
2021-12-01,20.5,88.5,0.0013384635
2021-12-01,20.5,91.0,0.00039678632
2021-12-01,20.5,90.75,0.00038530974
2021-12-01,20.5,88.75,0.00047796115
2021-12-01,20.5,90.5,0.0003935533
2021-12-01,20.5,90.25,0.00039832565
2021-12-01,20.5,89.0,0.00036953832
2021-12-01,20.5,90.0,0.0004030828
2021-12-01,20.5,89.75,0.00038604546
2021-12-01,20.0,87.0,0.000982924
2021-12-01,20.5,89.25,0.0003510804
2021-12-01,20.5,88.25,0.0033115868
2021-12-01,21.0,90.5,0.0008791088
2021-12-01,20.75,89.75,0.0004214356
2021-12-01,20.75,90.0,0.0004349219
2021-12-01,20.25,89.0,0.00034557946
2021-12-01,21.0,89.75,0.0011925857
2021-12-01,21.0,89.5,0.0011116756
2021-12-01,20.25,89.25,0.00034821386
2021-12-01,21.0,89.25,0.0012398734
2021-12-01,20.25,89.5,0.00038044222
2021-12-01,21.0,89.0,0.001540607
2021-12-01,22.5,90.75,0.24255368
2021-12-01,21.0,88.75,0.0018140196
2021-12-01,20.25,89.75,0.00038318234
2021-12-01,21.0,88.5,0.0021850737
2021-12-01,21.0,88.25,0.0025632023
2021-12-01,20.25,90.0,0.00036447786
2021-12-01,20.5,87.0,0.00275883
2021-12-01,21.0,88.0,0.002608691
2021-12-01,20.25,90.25,0.00034927236
2021-12-01,21.0,87.5,0.0011400554
2021-12-01,20.0,87.25,0.002245612
2021-12-01,21.0,87.25,0.00093696004
2021-12-01,20.25,90.5,0.00036399357
2021-12-01,21.0,87.0,0.0029690976
2021-12-01,20.75,91.0,0.0005437081
2021-12-01,22.0,91.0,0.014532001
2021-12-01,20.25,90.75,0.00043620222
2021-12-01,20.75,90.75,0.000555738
2021-12-01,20.75,90.5,0.0005700535
2021-12-01,20.25,91.0,0.00041013915
2021-12-01,20.75,90.25,0.0004940727
2021-12-01,21.0,87.75,0.0014226922
2021-12-01,21.5,91.0,0.013614677
2021-12-01,21.25,87.5,0.0013036607
2021-12-01,21.75,89.75,0.0043953853
2021-12-01,21.75,90.25,0.017095635
2021-12-01,20.0,88.25,0.0039674486
2021-12-01,21.75,87.75,0.0050619175
2021-12-01,20.0,88.0,0.012292216
2021-12-01,21.75,89.5,0.010185484
2021-12-01,21.75,90.0,0.0039784415
2021-12-01,20.0,88.5,0.001257805
2021-12-01,21.75,90.5,0.011915175
2021-12-01,20.0,87.75,0.014001515
2021-12-01,21.75,88.0,0.0028402805
2022-01-01,20.5,91.0,0.00084073155
2022-01-01,20.25,87.0,0.002585037
2022-01-01,20.75,88.75,0.0028189137
2022-01-01,21.5,88.25,0.0023085386
2022-01-01,22.25,90.75,0.04516323
2022-01-01,21.5,89.75,0.007559773
2022-01-01,21.0,90.75,0.0011612946
2022-01-01,20.75,87.75,0.0010240241
2022-01-01,21.5,87.5,0.0031822645
2022-01-01,21.25,89.75,0.0052346354
2022-01-01,20.0,87.5,0.021963231
2022-01-01,20.0,90.5,0.0018225014
2022-01-01,20.5,90.25,0.004536549
2022-01-01,21.25,89.5,0.0039530094
2022-01-01,22.5,90.75,0.07933617
2022-01-01,20.25,90.75,0.0017829124
2022-01-01,20.5,87.5,0.0012409199
2022-01-01,20.25,90.5,0.0023550328
