time,latitude,longitude,spco2
2021-12-01,21.25,89.0,28.364077
2021-12-01,20.25,87.0,25.610588
2021-12-01,20.25,87.5,32.702732
2021-12-01,21.0,91.0,27.779448
2021-12-01,21.25,90.0,29.094866
2021-12-01,21.25,88.5,23.267351
2021-12-01,20.25,87.75,33.321987
2021-12-01,21.25,88.25,20.125776
2021-12-01,21.25,88.0,18.370245
2021-12-01,20.25,88.0,33.40821
2021-12-01,21.25,87.75,19.206161
2021-12-01,20.5,89.5,32.366283
2021-12-01,20.25,88.25,33.53518
2021-12-01,21.25,87.25,22.261763
2021-12-01,21.25,87.0,19.941957
2021-12-01,20.25,88.5,33.681316
2021-12-01,21.0,90.75,28.23122
2021-12-01,22.0,90.75,18.856962
2021-12-01,21.25,88.75,26.7468
2021-12-01,22.0,90.5,18.687912
2021-12-01,20.0,91.0,34.27927
2021-12-01,21.25,90.5,26.03501
2021-12-01,21.75,90.75,20.610247
2021-12-01,20.0,88.75,33.782722
2021-12-01,21.5,90.75,22.106277
2021-12-01,21.5,90.5,23.305414
2021-12-01,22.25,91.0,13.347986
2021-12-01,20.0,89.0,33.437603
2021-12-01,21.5,90.25,25.247648
2021-12-01,21.5,90.0,26.015705
2021-12-01,20.0,89.25,33.1738
2021-12-01,21.5,89.75,26.877464
2021-12-01,21.5,89.5,26.791965
2021-12-01,20.0,89.5,33.120426
2021-12-01,21.5,89.25,27.100546
2021-12-01,21.5,89.0,26.71482
2021-12-01,21.75,91.0,19.64696
2021-12-01,20.0,89.75,33.24384
2021-12-01,21.5,88.75,24.01646
2021-12-01,21.5,88.5,19.104448
2021-12-01,20.0,90.0,33.449966
2021-12-01,21.5,88.25,14.529759
2021-12-01,21.5,88.0,15.158304
2021-12-01,20.0,90.25,33.689644
2021-12-01,21.5,87.75,17.678177
2021-12-01,21.5,87.5,19.005318
2021-12-01,20.0,90.5,34.114365
2021-12-01,21.5,87.25,19.106852
2021-12-01,21.25,91.0,24.67787
2021-12-01,20.0,90.75,34.42424
2021-12-01,21.25,90.75,25.375463
2021-12-01,21.25,90.25,27.697506
2021-12-01,20.25,88.75,33.527683
2021-12-01,21.0,90.25,29.74097
2021-12-01,21.0,90.0,30.55296
2021-12-01,20.5,87.25,26.565855
2021-12-01,20.75,89.25,32.338566
2021-12-01,20.75,89.0,31.948353
2021-12-01,22.5,91.0,12.511741
2021-12-01,22.25,90.75,16.217049
2021-12-01,20.5,87.5,31.042686
2021-12-01,20.75,88.75,31.095827
2021-12-01,20.75,88.5,30.713663
2021-12-01,20.5,87.75,32.153103
2021-12-01,20.75,88.25,30.256544
2021-12-01,20.75,88.0,29.235067
2021-12-01,20.5,88.0,32.903946
2021-12-01,20.75,87.75,27.720303
2021-12-01,20.75,89.5,32.242954
2021-12-01,20.75,87.5,26.269327
2021-12-01,20.75,87.25,23.930193
2021-12-01,20.75,87.0,22.05712
2021-12-01,20.5,88.5,33.073387
2021-12-01,20.5,91.0,32.502895
2021-12-01,20.5,90.75,32.313557
2021-12-01,20.5,88.75,32.96483
2021-12-01,20.5,90.5,32.045033
2021-12-01,20.5,90.25,31.959965
2021-12-01,20.5,89.0,32.896004
2021-12-01,20.5,90.0,32.237206
2021-12-01,20.5,89.75,32.33553
2021-12-01,20.0,87.0,29.246338
2021-12-01,20.5,89.25,32.58482
2021-12-01,20.5,88.25,33.17469
2021-12-01,21.0,90.5,28.86198
2021-12-01,20.75,89.75,32.11643
2021-12-01,20.75,90.0,31.537132
2021-12-01,20.25,89.0,33.148346
2021-12-01,21.0,89.75,30.514849
2021-12-01,21.0,89.5,30.835642
2021-12-01,20.25,89.25,32.79798
2021-12-01,21.0,89.25,30.220268
2021-12-01,20.25,89.5,32.576607
2021-12-01,21.0,89.0,29.262877
2021-12-01,22.5,90.75,14.510641
2021-12-01,21.0,88.75,28.206905
2021-12-01,20.25,89.75,32.68139
2021-12-01,21.0,88.5,26.642347
2021-12-01,21.0,88.25,24.905193
2021-12-01,20.25,90.0,32.855907
2021-12-01,20.5,87.0,22.900423
2021-12-01,21.0,88.0,23.313745
2021-12-01,20.25,90.25,33.119686
2021-12-01,21.0,87.5,22.214388
2021-12-01,20.0,87.25,31.914145
2021-12-01,21.0,87.25,22.762615
2021-12-01,20.25,90.5,33.368618
2021-12-01,21.0,87.0,21.680376
2021-12-01,20.75,91.0,30.407393
2021-12-01,22.0,91.0,17.68815
2021-12-01,20.25,90.75,33.41605
2021-12-01,20.75,90.75,30.17258
2021-12-01,20.75,90.5,30.323551
2021-12-01,20.25,91.0,33.303204
2021-12-01,20.75,90.25,31.045452
2021-12-01,21.0,87.75,22.082735
2021-12-01,21.5,91.0,21.249395
2021-12-01,21.25,87.5,21.19052
2021-12-01,21.75,89.75,22.55226
2021-12-01,21.75,90.25,21.82942
2021-12-01,20.0,88.25,33.878544
2021-12-01,21.75,87.75,14.982494
2021-12-01,20.0,88.0,33.769077
2021-12-01,21.75,89.5,23.169615
2021-12-01,21.75,90.0,21.350195
2021-12-01,20.0,88.5,34.005142
2021-12-01,21.75,90.5,21.635656
2021-12-01,20.0,87.75,33.74035
2021-12-01,21.75,88.0,11.80697
2022-01-01,20.5,91.0,30.531492
2022-01-01,20.25,87.0,28.055553
2022-01-01,20.75,88.75,31.27409
2022-01-01,21.5,88.25,17.335056
2022-01-01,22.25,90.75,16.268438
2022-01-01,21.5,89.75,28.42512
2022-01-01,21.0,90.75,27.37934
2022-01-01,20.75,87.75,26.302141
2022-01-01,21.5,87.5,22.305483
2022-01-01,21.25,89.75,29.405102
2022-01-01,20.0,87.5,31.877043
2022-01-01,20.0,90.5,31.084555
2022-01-01,20.5,90.25,31.888565
2022-01-01,21.25,89.5,30.019094
2022-01-01,22.5,90.75,12.456171
2022-01-01,20.25,90.75,30.970085
2022-01-01,20.5,87.5,29.313759
2022-01-01,20.25,90.5,31.341164
2022-01-01,20.0,89.25,32.23656
2022-01-01,21.75,90.25,24.64293
2022-01-01,20.75,89.0,31.841013
2022-01-01,20.5,89.0,32.360104
2022-01-01,21.5,88.75,29.604223
2022-01-01,20.25,87.25,30.087334
2022-01-01,20.0,88.5,32.373165
2022-01-01,21.0,88.0,23.595758
2022-01-01,21.5,90.0,26.98479
2022-01-01,21.0,91.0,27.324293
2022-01-01,21.0,88.75,29.766788
2022-01-01,21.25,90.0,28.990404
2022-01-01,21.75,90.0,24.301912
2022-01-01,21.75,88.0,15.083101
2022-01-01,20.5,88.0,31.8757
2022-01-01,20.25,89.5,32.463158
2022-01-01,21.0,90.0,30.295635
2022-01-01,21.25,90.75,25.501104
2022-01-01,20.75,88.0,27.972454
2022-01-01,21.5,89.25,29.62871
2022-01-01,20.25,90.25,31.58728
2022-01-01,20.5,88.75,32.303875
2022-01-01,21.0,89.0,30.725563
2022-01-01,20.75,88.25,29.749247
2022-01-01,21.0,90.25,29.296106
2022-01-01,20.5,90.75,30.952417
2022-01-01,21.0,87.0,24.74137
2022-01-01,21.25,91.0,24.926823
2022-01-01,20.0,90.75,30.927551
2022-01-01,20.75,91.0,29.039627
2022-01-01,21.0,87.75,23.65398
2022-01-01,20.0,89.75,31.776924
2022-01-01,21.5,87.25,22.054281
2022-01-01,21.0,89.25,31.30851
2022-01-01,21.0,90.5,27.831306
2022-01-01,21.5,89.5,28.630278
2022-01-01,20.5,90.5,31.581125
2022-01-01,22.0,90.75,21.103556
2022-01-01,21.25,90.25,27.704136
2022-01-01,20.25,89.0,32.511932
2022-01-01,20.25,88.75,32.557507
2022-01-01,20.0,87.25,31.506842
2022-01-01,20.75,88.5,30.53755
2022-01-01,20.0,89.5,32.00773
2022-01-01,20.0,87.75,32.14147
2022-01-01,20.0,91.0,30.971432
2022-01-01,22.0,91.0,19.188993
2022-01-01,20.5,87.75,30.632298
2022-01-01,21.25,90.5,26.125069
2022-01-01,20.75,90.75,29.64478
2022-01-01,21.75,91.0,21.996986
2022-01-01,21.5,89.0,31.529406
2022-01-01,21.75,87.75,19.032114
2022-01-01,21.5,90.5,24.992113
2022-01-01,21.25,88.5,23.2646
2022-01-01,22.0,90.5,21.356716
2022-01-01,20.75,89.75,32.209297
2022-01-01,20.25,88.25,32.479218
2022-01-01,20.0,90.25,31.346737
2022-01-01,20.25,87.75,31.80946
2022-01-01,20.75,87.5,26.029879
2022-01-01,20.5,89.75,32.362473
2022-01-01,20.0,87.0,30.167196
2022-01-01,20.25,91.0,30.898531
