time,latitude,longitude,no3
2021-12-01,20.25,87.25,2.55977
2021-12-01,21.25,89.75,9.416643
2021-12-01,21.25,89.25,7.6477227
2021-12-01,21.25,89.0,7.317357
2021-12-01,20.25,87.0,4.353489
2021-12-01,20.25,87.5,0.6751707
2021-12-01,21.0,91.0,13.450164
2021-12-01,21.25,90.0,13.758701
2021-12-01,21.25,88.5,6.8243175
2021-12-01,20.25,87.75,0.40452352
2021-12-01,21.25,88.25,5.1100316
2021-12-01,21.25,88.0,3.653376
2021-12-01,20.25,88.0,0.40836447
2021-12-01,21.25,87.75,3.06088
2021-12-01,20.5,89.5,1.1230599
2021-12-01,20.25,88.25,0.38281715
2021-12-01,21.25,87.25,4.1217556
2021-12-01,21.25,87.0,3.8457568
2021-12-01,20.25,88.5,0.37766835
2021-12-01,21.0,90.75,11.716066
2021-12-01,22.0,90.75,34.651
2021-12-01,21.25,88.75,7.4286523
2021-12-01,22.0,90.5,26.333803
2021-12-01,20.0,91.0,0.5649363
2021-12-01,21.25,90.5,18.7586
2021-12-01,21.75,90.75,35.561523
2021-12-01,20.0,88.75,0.5445766
2021-12-01,21.5,90.75,33.98107
2021-12-01,21.5,90.5,28.9918
2021-12-01,22.25,91.0,46.410744
2021-12-01,20.0,89.0,0.79604685
2021-12-01,21.5,90.25,23.99621
2021-12-01,21.5,90.0,16.276985
2021-12-01,20.0,89.25,0.9662042
2021-12-01,21.5,89.75,12.878653
2021-12-01,21.5,89.5,10.585234
2021-12-01,20.0,89.5,1.0548368
2021-12-01,21.5,89.25,8.454579
2021-12-01,21.5,89.0,6.8498077
2021-12-01,21.75,91.0,41.558018
2021-12-01,20.0,89.75,1.0708756
2021-12-01,21.5,88.75,6.6253767
2021-12-01,21.5,88.5,4.7011876
2021-12-01,20.0,90.0,0.99952424
2021-12-01,21.5,88.25,2.9054487
2021-12-01,21.5,88.0,2.81134
2021-12-01,20.0,90.25,0.8214583
2021-12-01,21.5,87.75,3.2506044
2021-12-01,21.5,87.5,3.8958175
2021-12-01,20.0,90.5,0.5559618
2021-12-01,21.5,87.25,3.574993
2021-12-01,21.25,91.0,24.408363
2021-12-01,20.0,90.75,0.37997624
2021-12-01,21.25,90.75,22.43837
2021-12-01,21.25,90.25,17.615831
2021-12-01,20.25,88.75,0.49502078
2021-12-01,21.0,90.25,6.011008
2021-12-01,21.0,90.0,4.087453
2021-12-01,20.5,87.25,3.789122
2021-12-01,20.75,89.25,1.2717526
2021-12-01,20.75,89.0,1.44365
2021-12-01,22.5,91.0,41.264027
2021-12-01,22.25,90.75,37.983124
2021-12-01,20.5,87.5,2.0902658
2021-12-01,20.75,88.75,2.0994675
2021-12-01,20.75,88.5,2.588995
2021-12-01,20.5,87.75,1.1440172
2021-12-01,20.75,88.25,2.7092915
2021-12-01,20.75,88.0,2.850072
2021-12-01,20.5,88.0,0.81354845
2021-12-01,20.75,87.75,3.1994874
2021-12-01,20.75,89.5,1.2045524
2021-12-01,20.75,87.5,3.4715416
2021-12-01,20.75,87.25,4.0399833
2021-12-01,20.75,87.0,5.249259
2021-12-01,20.5,88.5,0.6837582
2021-12-01,20.5,91.0,2.617289
2021-12-01,20.5,90.75,2.4535565
2021-12-01,20.5,88.75,0.67469954
2021-12-01,20.5,90.5,2.5975993
2021-12-01,20.5,90.25,2.3711948
2021-12-01,20.5,89.0,0.85511136
2021-12-01,20.5,90.0,1.8714039
2021-12-01,20.5,89.75,1.3352542
2021-12-01,20.0,87.0,2.489611
2021-12-01,20.5,89.25,1.0354669
2021-12-01,20.5,88.25,0.75740683
2021-12-01,21.0,90.5,9.13062
2021-12-01,20.75,89.75,1.3928946
2021-12-01,20.75,90.0,2.4719927
2021-12-01,20.25,89.0,0.8555924
2021-12-01,21.0,89.75,2.6353319
2021-12-01,21.0,89.5,2.1743555
2021-12-01,20.25,89.25,1.0990739
2021-12-01,21.0,89.25,2.997351
2021-12-01,20.25,89.5,1.2449359
2021-12-01,21.0,89.0,4.0004416
2021-12-01,22.5,90.75,37.749554
2021-12-01,21.0,88.75,5.2520304
2021-12-01,20.25,89.75,1.3225921
2021-12-01,21.0,88.5,5.6779947
2021-12-01,21.0,88.25,5.3774614
2021-12-01,20.25,90.0,1.4663416
2021-12-01,20.5,87.0,5.1956654
2021-12-01,21.0,88.0,4.7827125
2021-12-01,20.25,90.25,1.4950025
2021-12-01,21.0,87.5,3.7719932
2021-12-01,20.0,87.25,1.092469
2021-12-01,21.0,87.25,4.2092075
2021-12-01,20.25,90.5,1.4614285
2021-12-01,21.0,87.0,4.924374
2021-12-01,20.75,91.0,5.131723
2021-12-01,22.0,91.0,42.46518
2021-12-01,20.25,90.75,1.4598999
2021-12-01,20.75,90.75,5.5642247
2021-12-01,20.75,90.5,5.1957483
2021-12-01,20.25,91.0,1.7789983
2021-12-01,20.75,90.25,3.7508097
2021-12-01,21.0,87.75,3.9041007
2021-12-01,21.5,91.0,35.653755
2021-12-01,21.25,87.5,3.5651522
2021-12-01,21.75,89.75,11.754212
2021-12-01,21.75,90.25,20.967947
2021-12-01,20.0,88.25,0.34822655
2021-12-01,21.75,87.75,3.9062982
2021-12-01,20.0,88.0,0.36033246
2021-12-01,21.75,89.5,9.137599
2021-12-01,21.75,90.0,14.166964
2021-12-01,20.0,88.5,0.37745732
2021-12-01,21.75,90.5,27.78669
2021-12-01,20.0,87.75,0.3640259
2021-12-01,21.75,88.0,3.101219
2022-01-01,20.5,91.0,1.3869697
2022-01-01,20.25,87.0,2.2900941
2022-01-01,20.75,88.75,0.61229944
2022-01-01,21.5,88.25,2.7006254
2022-01-01,22.25,90.75,32.30093
2022-01-01,21.5,89.75,4.665328
2022-01-01,21.0,90.75,9.099085
2022-01-01,20.75,87.75,2.3084629
2022-01-01,21.5,87.5,3.6185963
2022-01-01,21.25,89.75,2.323607
2022-01-01,20.0,87.5,0.70005316
2022-01-01,20.0,90.5,1.5144225
